#{"env_id": null, "t_start": 1550439889.1704478}
r,l,t
-1.0,100,543.510071
-1.0,100,545.020223
-1.0,100,546.454637
1.0,51,546.654136
-1.0,100,548.059269
-1.0,100,549.453459
1.0,17,549.524856
-1.0,100,550.936071
1.0,83,551.275191
1.0,33,551.422132
-1.0,100,552.879683
-1.0,100,554.246271
-1.0,100,555.557203
-1.0,100,556.910379
-1.0,100,557.256276
-1.0,100,558.584811
-1.0,100,560.03785
1.0,32,560.154722
-1.0,100,561.533447
1.0,11,561.577012
-1.0,100,562.943509
1.0,70,563.221684
1.0,13,563.272202
1.0,43,564.463517
-1.0,100,565.799814
-1.0,100,566.179369
-1.0,100,567.616866
-1.0,100,569.158717
-1.0,100,570.6553
-1.0,100,571.071063
1.0,30,572.179996
-1.0,100,572.558994
-1.0,100,573.932312
-1.0,100,575.317427
-1.0,100,576.776328
1.0,48,576.974462
-1.0,100,578.352554
1.0,69,579.632058
1.0,73,579.924571
-1.0,100,581.388587
-1.0,100,582.806434
-1.0,100,583.202883
1.0,98,584.640281
1.0,94,585.991634
1.0,48,586.196632
1.0,25,586.297225
1.0,41,587.415563
-1.0,100,588.792308
-1.0,100,589.190461
1.0,82,590.619205
1.0,19,590.701594
-1.0,100,592.124561
1.0,71,592.404766
-1.0,100,593.803947
-1.0,100,595.27885
-1.0,100,596.698428
1.0,10,596.745915
1.0,85,598.138775
-1.0,100,598.531824
-1.0,100,599.883765
-1.0,100,601.332868
-1.0,100,602.675025
-1.0,100,603.070122
-1.0,100,604.451643
1.0,44,605.589843
-1.0,100,606.008455
-1.0,100,607.422142
-1.0,100,608.883931
-1.0,100,610.443757
-1.0,100,611.810026
1.0,64,612.042642
-1.0,100,613.419437
-1.0,100,614.947047
-1.0,100,615.344897
-1.0,100,616.841428
-1.0,100,618.302753
-1.0,100,619.734592
-1.0,100,620.140807
1.0,35,621.301666
-1.0,100,622.78907
-1.0,100,623.188449
-1.0,100,624.650236
-1.0,100,626.070266
1.0,6,626.099838
-1.0,100,627.469308
-1.0,100,627.867158
1.0,46,629.047508
-1.0,100,630.578774
1.0,15,630.65216
1.0,35,630.820927
1.0,68,632.002649
-1.0,100,632.433855
-1.0,100,633.819652
-1.0,100,635.182582
1.0,47,635.361915
-1.0,100,636.825291
-1.0,100,638.241987
-1.0,100,639.735388
1.0,56,639.957946
-1.0,100,641.43815
1.0,70,641.728936
1.0,31,642.867975
-1.0,100,643.2747
-1.0,100,644.75
1.0,13,644.805441
1.0,42,645.94292
1.0,95,646.329404
1.0,31,647.469115
-1.0,100,647.887389
-1.0,100,649.272528
1.0,92,650.749566
-1.0,100,652.209107
1.0,84,652.559942
-1.0,100,653.945145
-1.0,100,655.436885
1.0,35,655.587475
-1.0,100,657.104475
-1.0,100,658.583355
-1.0,100,658.984146
-1.0,100,660.309521
-1.0,100,661.846312
-1.0,100,663.368805
1.0,16,663.43456
-1.0,100,665.024122
-1.0,100,666.418894
-1.0,100,666.824924
1.0,12,666.873674
-1.0,100,668.417396
1.0,40,668.570751
-1.0,100,670.136439
-1.0,100,671.545268
-1.0,100,672.987062
-1.0,100,674.372927
-1.0,100,674.763799
-1.0,100,676.133435
-1.0,100,677.57965
1.0,84,678.861799
-1.0,100,679.260756
-1.0,100,680.703999
-1.0,100,682.080958
-1.0,100,683.496821
1.0,22,683.576116
1.0,31,683.693645
-1.0,100,685.013808
-1.0,100,686.360962
-1.0,100,687.767612
1.0,9,687.809688
-1.0,100,688.197279
1.0,46,689.364806
1.0,35,689.507022
-1.0,100,690.986296
-1.0,100,692.355343
1.0,68,692.622936
-1.0,100,693.957252
1.0,48,694.146842
-1.0,100,695.500568
-1.0,100,696.868181
-1.0,100,698.364008
1.0,43,698.54152
-1.0,100,700.01425
-1.0,100,700.381755
-1.0,100,701.851978
-1.0,100,703.420868
-1.0,100,704.857706
1.0,21,704.937594
-1.0,100,706.373166
-1.0,100,707.787839
1.0,97,708.177927
1.0,5,708.199106
1.0,80,709.535256
-1.0,100,710.882595
1.0,98,712.227342
-1.0,100,712.640545
1.0,19,712.725095
-1.0,100,714.173761
1.0,90,715.53515
-1.0,100,716.979825
1.0,58,717.207433
-1.0,100,718.735029
1.0,32,718.874635
-1.0,100,720.418858
1.0,55,720.651644
1.0,42,721.96156
1.0,12,722.008528
1.0,78,722.309802
-1.0,100,723.714004
1.0,8,723.744872
1.0,85,725.073101
-1.0,100,726.539503
-1.0,100,727.894204
-1.0,100,728.282372
-1.0,100,729.785707
-1.0,100,731.177553
-1.0,100,732.593617
-1.0,100,733.005042
-1.0,100,734.378229
-1.0,100,735.824082
1.0,84,737.106681
-1.0,100,737.491262
-1.0,100,738.923345
-1.0,100,740.246316
1.0,42,740.431174
-1.0,100,741.817738
-1.0,100,743.31312
-1.0,100,744.749486
-1.0,100,745.161794
-1.0,100,746.604412
-1.0,100,747.951618
1.0,80,749.299525
1.0,11,749.345433
1.0,47,749.54437
-1.0,100,750.867027
1.0,17,750.93443
1.0,59,751.179682
1.0,12,752.43969
1.0,5,752.470426
-1.0,100,752.894199
-1.0,100,754.456026
-1.0,100,755.890643
-1.0,100,757.226416
-1.0,100,757.617327
-1.0,100,758.933978
-1.0,100,760.39616
1.0,20,760.482059
-1.0,100,761.836843
-1.0,100,763.232
-1.0,100,764.572685
-1.0,100,764.965622
1.0,16,765.02325
1.0,87,766.400161
-1.0,100,767.814652
-1.0,100,769.227031
-1.0,100,769.619297
-1.0,100,771.005615
-1.0,100,772.424534
-1.0,100,773.753974
1.0,28,773.866051
-1.0,100,775.258617
1.0,20,775.338484
-1.0,100,776.830186
1.0,96,778.218246
-1.0,100,778.58452
-1.0,100,780.033024
1.0,33,780.160224
1.0,65,781.422976
1.0,67,781.67597
-1.0,100,783.126082
-1.0,100,784.509688
1.0,23,784.596849
-1.0,100,785.997812
-1.0,100,787.398479
1.0,74,787.707508
-1.0,100,789.100013
-1.0,100,790.597898
-1.0,100,792.006208
-1.0,100,792.377368
-1.0,100,793.758492
-1.0,100,795.226513
